# NOTE: this is an auto-generated file. Manual edits will be overwritten.
xp28_0g88c88q596ye695q88c88gz01i9ehr0qbygbq0rhe9i1z3egf14k3si3ye3is3k41fge3zxd55d2qdy275777757y2dq2d55dzy2321y5g8ggy5123zyehahzy2o8gy51211y5g8ozxmkkm8bmy2skssssksy2mb8mkkmzoe1ug45o79oyeo97o54gu1eoz0g9iehr0bqygqb0rhei9gz0122622bkicyecikb226221 jslife-20121230, o0028.lif, row 5, object 1
xp28_0g88c88q596ye695q88c88gz01i9ehr0qbygbq0rhe9i1z3egf14k3si3ye3is3k41fge3zxd55d2qdy275777757y2dq2d55dzy2321y5g8ggy5123zyehahzy2o8gy51211y5g8ozxmkkm8bmy2skssssksy2mb8mkkmzoe1ug45o79oyeo97o54gu1eoz0g9iehr0bqygqb0rhei9gz0122622bkicyecikb226221 jslife-20121230, x-oscs-new-p020-035.lif, period 28, object 3
xp28_0g88c88q596ye695q88c88gz01i9ehr0qbygbq0rhe9i1z3egf14k3si3ye3is3k41fge3zxd55d2qdy275777757y2dq2d55dzy2321y68oogy4123zy2gwm2sgyggs2mwgzy0g8l55d2qdy275777757y2dq2d55l8gzx638nk9p6pi6ye6ip6p9kn836zy0cikjkmo2mygm2omkjkiczy31w2543ye3452w1 jslife-20121230, o0028.lif, row 5, object 2
xp28_0k0il96y0ok46zw1xs8y2oozooy0ogy6ccy1o8zx8o01yc321z0311xg8ow232x232wo4aiczy223y166y31202 jslife-20121230, o0028.lif, row 4, object 2
xp28_cikb73y737bkiczo4k8x2c2x2c2x8k4oz01277y97721 jslife-20121230, o0028.lif, row 1, object 3
xp28_cikb73y737bkiczo4k8x2c2x2c2x8k4oz01277y97721 jslife-20121230, x-oscs-1-of-each.lif, period 28
xp28_g8gcscy333xoge2z1ii1x676x676z34atsy4ggx62sgzy911 jslife-20121230, o0028.lif, row 1, object 1
xp28_g8gcscy737bkicz1ii1x8g8x2c2x8k4oz34atsx1y57721 jslife-20121230, o0028.lif, row 2, object 4
xp28_g8k42ky333xoge2z1221xgogxgogz03lkmy9m2s53z03201w4c4x4c4w11z69li0ky8c4ozy01y433y111 jslife-20121230, o0028.lif, row 3, object 1
xp28_og4s0f9x1110111x9f0s4gozwgbagx4o4x4o4xgabgzw125eey9ee521 jslife-20121230, x-oscs-new-p020-035.lif, period 28, object 1
xp28_og4s0f9x1110111x9f0s4gozwgbagx4o4x4o4y023zw125eey4oox31e8 jslife-20121230, o0028.lif, row 2, object 3
xp28_w32acy2ca23z0ccy0e4y2cczggy1s8y4ggzhaary6rhe21z11y172z066y0e4y266zwo8a6y26a8o jslife-20121230, o0028.lif, row 3, object 3
xp28_wg8i0q4y333xoge2zw1qa1x262x262y08oz31470uixgy1gxiu07413zy613x31 jslife-20121230, o0028.lif, row 1, object 2
xp28_wosq596wo4ozy4ohlc3213z8kkmgc97066zx65 jslife-20121230, o0028.lif, row 2, object 1
xp28_x32acy2ca23zwccy0e4y2cczggy2s8z12ehry6rhe8gzy472y411zw66y0e4y266zxo8a6y26a8o jslife-20121230, x-djb-oscillators.lif, group 16, object 3
xp28_x32acy5o4oz4o68xgggy15d0d552z0o4cw2543y5g0s4z11wg0gy2e9d2wh1oz069ld0t5y4ggw301zxo5l80gwrrx1226zy012242 jslife-20121230, o0028.lif, row 1, object 6
xp28_xosq596y0ok46zy6ss8xggzooy2oogy1123y0oge2zx8ox11wosox676y0ggz0311xg8oy9sta43zy223y166 jslife-20121230, o0028.lif, row 4, object 1
xp28_y0oimggwo8gy1o8bp6o8gzw6226w1x65156y247o9aacggz696x277y7772y19f023z696x4eey7ee4wgw9fgkczw64kmggowg6q8a6wgwg2u1p553zy0146y011y211d9611 jslife-20121230, o0028.lif, row 3, object 2
xp28_y1g8keey433xoge2z064ko1221x434x434y1695qsozoox88kydk88zy1gg8yd8ggxooz0ooo0g01yd1wo8zw12543g8ow161x161wgkaic0113zy223y166y4331 jslife-20121230, o0028.lif, row 4, object 3
xp28_y2g886pb8oy1gz0ggc2qp033y26511z320f9y4522x66zy169y2a44wgw9fgkczy2o8a6wgwg2u1p553zy811d9611 jslife-20121230, o0028.lif, row 2, object 2
xp28_y633y833zy68sq6y46qs8z33y0ca76yc67acy033zzggy0ckooycookcy0ggz11y2104emoy4ome401y211zy6ggy8ggzy611y811 jslife-20121230, o0028.lif, row 1, object 4
xp28_y633y833zy68sq6y46qs8z33y0ca76yc67acy033zzggy0ckooycookcy0ggz11y2104emoy4ome401y211zy6ggy8ggzy611y811 jslife-20121230, x-oscs-new-p020-035.lif, period 28, object 4
xp28_y633y833zy68sq6y46qs8z33y0ca76yc67acy033zzggy0ckooycookcy0ggz11y2104emoy4ome401y2123y833zy6ggy8ggy58sq6y46qs8zy611y8123y0ca76yc67acy033zzylggy0ckooycookcy0ggzyl11y2104emoy4ome401y211zyvggy8ggzyv11y811 jslife-20121230, o0028.lif, row 3, object 4
