# NOTE: this is an auto-generated file. Manual edits will be overwritten.
xp10_032q48w9fgkcz255qabp553 jslife-20121230, o0010.lif, row 5, object 9
xp10_03iikgg88s0ge2zwg3s41oijsgz47w311w244c jslife-20121230, o0010.lif, row 1, object 1
xp10_03iikgg88s0ge2zwg3s41oijsgz47w311w244c jslife-20121230, x-oscs-new-p001-019.lif, period 10, object 7
xp10_08kiab9ic0s408ozx34aq1qa9eh62iacggz3146pab8b41t0raabgf0s408ozy33ph5qa34bi6qa1eh62iacggzy7346pab8b41vghaabgf0s4g08ozyd3ph5qa34ba2i69eh5dzyh346pabo3t1vg7llb8ozyq122rq1 jslife-20121230, o0010.lif, row 3, object 5
xp10_0c4gf1mki6z4allar0v0v04a4z0641ugd59c jslife-20121230, o0010.lif, row 4, object 3
xp10_0g8geh5mg62s0c48cz12ehe201x23 jslife-20121230, o0010.lif, row 4, object 4
xp10_0ggmk9b88gzhi260v0rkla23z122raap8a6 jslife-20121230, o0010.lif, row 1, object 8
xp10_0gs2d2cggkczrq0v0fa1zx346 jslife-20121230, o0010.lif, row 5, object 6
xp10_0o4is0c4o7p2c88cwgzdlkig2rdbb89v0p5t5l4k8gzx64lq231138e12js34521 jslife-20121230, o0010.lif, row 5, object 5
xp10_0ogiegml1u0oggozcimgnwo44kmiczxiu06b87066 jslife-20121230, o0010.lif, row 1, object 12
xp10_178f1ukezw355q8278chmki6zy123y01w1 jslife-20121230, o0010.lif, row 5, object 11
xp10_3542usz6512310gh11zy0ojdwdjo jslife-20121230, o0010.lif, row 5, object 2
xp10_3542usz6512310gh11zy0ojdwdjo jslife-20121230, x-oscs-new-p001-019.lif, period 10, object 3
xp10_6s1f0b9c8a6z9p6hbgf9z638f0c93156 jslife-20121230, o0010.lif, row 3, object 3
xp10_8kiabaikmzwj4qa1au1u0ooz4701221e91 jslife-20121230, o0010.lif, row 1, object 7
xp10_8kkjaa4oz06aai1o4hd2sgzy01230343 jslife-20121230, o0010.lif, row 3, object 1
xp10_8kkjaa4oz06aai1o4hd2sgzy01230343 jslife-20121230, x-djb-oscillators.lif, group 23, object 3
xp10_8kkm0e1acggzxh0jjld221zx110qm jslife-20121230, o0010.lif, row 5, object 7
xp10_8kkm0e1acggzxh0jjld221zx110qm jslife-20121230, o0010.lif, row 7, object 5
xp10_8o0o4ap7o3d44m88c88b94t3objozeb0lfk4e8b8ifha8ba708v743z178bqhd59a43w2311311 jslife-20121230, o0010.lif, row 5, object 1
xp10_8o0o4ap7o3d44m88c88b94t3objozeb0lfk4e8b8ifha8ba708v743z178bqhd59a43w2311311 jslife-20121230, x-oscs-new-p001-019.lif, period 10, object 2
xp10_8o0u1e8z0560vh4egm6oggzy634a43 jslife-20121230, o0010.lif, row 2, object 3
xp10_8o0u1e8z0560vh4egm6oggzy634a43 jslife-20121230, x-oscs-new-p001-019.lif, period 10, object 4
xp10_c84c0s2ab8oz0ok4r2q2r4jchrzw34bapab43 jslife-20121230, o0010.lif, row 1, object 10
xp10_ckgf90gzxj5c2v3ogkczx11d59a6 jslife-20121230, o0010.lif, row 2, object 10
xp10_g84q4go4a9jz01pl4bai1o4hm853zy2c961t5ka4zy71 jslife-20121230, o0010.lif, row 4, object 5
xp10_g88bbg0s4z11w1g2v0f9z32qjc321 jslife-20121230, o0010.lif, row 3, object 4
xp10_g88c1b0v1s6z118p7g7ge918ozw638f0c9311 jslife-20121230, o0010.lif, row 7, object 8
xp10_gbaa3s48gkq23z12iablgngmiczx121w1 jslife-20121230, o0010.lif, row 1, object 14
xp10_gbb88raikmz121hgk0scabkk8zwrailc3213 jslife-20121230, o0010.lif, row 7, object 6
xp10_gs2ib8o6p5q8im44ozo4kba40h0450647011z0do3dhktzw1226 jslife-20121230, o0010.lif, row 1, object 11
xp10_j9q3a2raikmz122qj4raqa21u0oozy2321e91 jslife-20121230, o0010.lif, row 2, object 5
xp10_kcwoi6wq6gdbz1p55ai3llla9ozw115aaq221 jslife-20121230, o0010.lif, row 6, object 4
xp10_o8go4q2s0v9z4aaqi9j9iqa96zy1ggy2oe1t28c88czy11166y0ql0q7ll96zya343056 jslife-20121230, o0010.lif, row 7, object 1
xp10_ogjlqgggqljgozwmqy1qm jslife-20121230, o0010.lif, row 1, object 5
xp10_ogjlqgggqljgozwmqy1qm jslife-20121230, x-oscs-1-of-each.lif, period 10
xp10_ok46p2sgz6a8fis2qrz039c jslife-20121230, o0010.lif, row 4, object 1
xp10_oo0u13z624b8l90cx8ozy11ad1dd11 jslife-20121230, o0010.lif, row 3, object 2
xp10_oo0u13z624b8l90cx8ozy11ad1dd11 jslife-20121230, x-djb-oscillators.lif, group 22, object 1
xp10_w2lm88b5oz64la26dhla26zw1ad116a4 jslife-20121230, o0010.lif, row 4, object 2
xp10_w64k6he8zcc0v0fkr1u0oozx1ar4jkjgzy1121w1 jslife-20121230, o0010.lif, row 5, object 8
xp10_w8ko0e9jzca2261jlehm453zy1c870121 jslife-20121230, o0010.lif, row 7, object 4
xp10_wc9b8oz31130g8hf0s4zy1fifg7qz64kmggo47011zw146 jslife-20121230, o0010.lif, row 2, object 11
xp10_wciqb9cggz0o4cxbo2ticz11y123 jslife-20121230, o0010.lif, row 6, object 1
xp10_wg886p3c4oz6a9l543s2aap56zx123c9611 jslife-20121230, o0010.lif, row 5, object 4
xp10_wgbd0u1eozgjkll0q7nvy17z1w102lkjgo4e2222e4oggzy21ggmaarrg033aq6gnk8zy31243w6sdj0v065zy46a8cb04wh08ozy465pbapabb871zya23 jslife-20121230, o0010.lif, row 5, object 3
xp10_wmk9b88b94oz47o6ligrkkb871zx146w6413 jslife-20121230, o0010.lif, row 1, object 13
