# NOTE: this is an auto-generated file. Manual edits will be overwritten.
xp29_wgg0s4w255202552w4s0ggz320f811w4r4x4r4w118f023zzy4252y1252 jslife-20121230, o0029.lif, row 1, object 1
xp29_wgg0s4w255202552w4s0ggz320f811w4r4x4r4w118f023zzy4252y1252 jslife-20121230, x-oscs-1-of-each.lif, period 29
xp29_y0c9b8oy8o8b9cz0g3113ggyagg3113gz3k3x331y8133x3k3z343x772y8277x343zw32qb88cy8c88bq23zy123yc32 jslife-20121230, o0029.lif, row 2, object 1
xp29_y0c9b8oyqo8b9cz0g3113ggy3g8gxc4gy2g8gy3gg3113gz3k3x331y31y0651156y01y3133x3k3z343x772y54a4y24a4y5277x343zw32qb88cx4a4x8a8y28a8x4a4xc88bq23zy0ogill2xgy0gggy2gggy0gx2lligozw6226w1x121y0iy4iy0121x1w6226z696x772y5121y2121y5277x696z696xee4y28k8xj5c453x8k8y24eex696zw64kmggoy811ycoggmk46zy0146yu641 jslife-20121230, o0029.lif, row 3, object 4
xp29_y0c9b8oyqo8b9cz0g3113ggy3g8gxc4gy2g8gy3gg3113gz3k3x331y31y0651156y01y3133x3k3z343x772y54a4y24a4y5277x343zw32qb88cx4a4x8a8y28a8x4a4xc88bq23zy0ogill2xgy0gggy2gggy0gx2lligozw6226w1x121y0iy4iy0121x1w6226z696x772y5121y2121y5277x696z696xee4y28k8xj5c453x8k8y24eex696zw64kmggoy811ycoggmk46zy0146yu641 jslife-20121230, x-oscs-new-p020-035.lif, period 29, object 2
xp29_y1252y1252zy24c4x4c4y3ooy1ggz0o4cyj643z11y133y3464x464zyb8k8y18k8 jslife-20121230, o0029.lif, row 2, object 3
xp29_y2c9b8oygggw8kk808kk8wggzxg3113ggy3g8gy2c82u074woooxooow470u28czw3k3x331y31y611y11y11y111zw343x772y5go0oy3gy68k8zy032qb88cy424843y12588bazy323y5ggggy5gy6ggmiozy4g8gy3260852y1u1o92y41w6226zy51ys277x696zgg0s4y0osoxosoy04s0ggy28k8y24eex696z10230f9wg88g0g88gw9f03201yboggmk46zy611x11yn641 jslife-20121230, o0029.lif, row 1, object 5
xp29_y2c9b8oygggw8kk808kk8wggzxg3113ggy3g8gy2c82u074woooxooow470u28czw3k3x331y31y611y11y11y111zw343x772y5go0oy3gy68k8zy032qb88cy424843y12588bazy323y5ggggy5gy6ggmiozy4g8gy3260852y1u1o92y41w6226zy51ys277x696zgg0s4y0osoxosoy04s0ggy28k8y24eex696z10230f9wg88g0g88gw9f03201yboggmk46zy611x11yn641 jslife-20121230, x-oscs-new-p020-035.lif, period 29, object 1
xp29_y2gg0s4w255202552w4s0ggzy0320f811weaexeaew118f023z0gyrgz121y072x616y1616x27y0121z8k8y0e4x686y1686x4ey08k8zzy0c4gv1o8w757x757w8o1vg4czy532w4aa404aa4w23 jslife-20121230, o0029.lif, row 5, object 3
xp29_y4gg0s4x63x36x4s0ggzy0okkjgf811xgy1gx118fgjkkozw6226w1y2111x111y21w6226z462y227yd72y2264z264y24eyde4y2462zw64kmggoy28o8x8o8y2oggmk46zy0122cgv1o8y98o1vgc221zy732x6cxc6x23 jslife-20121230, o0029.lif, row 5, object 2
xp29_y4o8bp688gz0gy6330pq2cggz121x225y49f023z8k8x44ay296zy86a8o jslife-20121230, o0029.lif, row 1, object 2
xp29_y5252y1252ye252y1252zxo8y14c4x4c4x4ewe0aa0ewe4x4c4x4c4y18oz354r2asyac4oy6o4cyasa2r453zy01169bhe88cw33y111y411y133wc88ehb9611zy5123yu321 jslife-20121230, o0029.lif, row 5, object 1
xp29_y6252y1252z178cwgy1gy1gy1gwc871z4s0gw3y0333x333y03wg0s4zw11wey06e6x6e6y0ew11zzy6252y1252 jslife-20121230, o0029.lif, row 1, object 4
xp29_y6o8bp688gzxgy6330pq2cggzw121x225y49f023z8k8x44ay296zy86a8o jslife-20121230, o0029.lif, row 1, object 3
xp29_y739e0e93z252x4eey7ee4x252zg8gx8ssy7ss8xg8gz01y6ckgkcy61zy7321 jslife-20121230, o0029.lif, row 2, object 2
xp29_y8252y1252zy94c4x4c4z8k8y0ogydgoy08k8zy3hyfhz252y031yd13y0252zy9464x464zy88k8y18k8 jslife-20121230, o0029.lif, row 3, object 3
xp29_y8ca23z252y24eexcczg8gy28ssy366xg0s4z01y76e6x6e6w11zzy8252y1252 jslife-20121230, o0029.lif, row 3, object 2
xp29_y8ca23z252y24eexcczg8gy28ssy366xg0s4z01y76e6x6e6w11zzy8252y1252 jslife-20121230, x-djb-oscillators.lif, group 17, object 1
xp29_yaca23zw252y24eexo8gzg8gy28ssy21hggwc871z01y76e6x131zygg8gzy8252y21 jslife-20121230, o0029.lif, row 3, object 1
xp29_ydo8bp6o8gzy22egox33y247o9aacggzy8757x757y19f023zzxggz6a8nkggow757x757wo8gzx122cgv1oggow66y132zy5346 jslife-20121230, o0029.lif, row 4, object 1
