# NOTE: this is an auto-generated file. Manual edits will be overwritten.
xp7_03iab2qjk46z0iv0jqaq6he8zc4gf8383sj2zxd55d2oa7w356y2gzy2321ok4mhbh6k4baap5t2sg7p8zy8470786k55r98ra860vizyd11 jslife-20121230, x-oscs-new-p001-019.lif, period 7, object 2
xp7_03iab2qjk46z0iv0jqaq6he8zc4gf8383sj2zxd55d2oa7w53jcszy2321xggo4c4oggc886kk8g0s4zy7320iu1u0qglld70f83q0v9zye146w311311w32 jslife-20121230, x-oscs-new-p001-019.lif, period 7, object 1
xp7_064kjaarai3z8eh6q2ia0viz02js3k41fg4czwdq2d55dzx123 jslife-20121230, o0007.lif, row 7, object 1
xp7_0g842s0fpwc871zc45d944b4zo8a6 jslife-20121230, o0007.lif, row 8, object 7
xp7_0g88b5oz1255kk3033zy011 jslife-20121230, o0007.lif, row 1, object 1
xp7_0g88b5oz1255kk3033zy011 jslife-20121230, x-djb-oscillators.lif, group 3, object 4
xp7_0g88b5oz1255kk3033zy011 jslife-20121230, x-oscs-1-of-each.lif, period 7
xp7_0g88c88q596y6ciakggoggz01i9d0m2qby8mk5c0qi43z3egf8383si3y664p6h6gu1s6zxd55d2oa7w533ccawelh4qaaq1zy2321ya346 jslife-20121230, o0007.lif, row 8, object 5
xp7_0g88c88q596z01i9d0m2qbz3egf8383si3zxd55d2oa7w356zy2321ok4mhbh6k4b9k6gu28q596zy847078mkl58628mgf2zyf11 jslife-20121230, o0007.lif, row 8, object 6
xp7_0g8k4raabaar4k8gzangbac4a1a4cabgnazcc0v0esxse0v0ccz0q6he1920291eh6qz1pe1pld8q8dlp1ep1zcikbaey1eabkiczcq2t1d17f71d1t2qcz32ql5d0j0j0d5lq23zy239g93zy2okukozy2gpppgzy212n21zwggwcp0pcwggzck5qab0c0c0baq5kcz3lkb8b8efe8b8bkl3z3k2dlnwgwnld2k3z8p7o9ab151ba9o7p8z056o78p404p87o65z3jgf073x370fgj3z5u0t5j25852j5t0u5zw122d55d55d221 jslife-20121230, o0007.lif, row 3, object 6
xp7_0gs29m4km88czw34bq26303113z32139c jslife-20121230, o0007.lif, row 3, object 3
xp7_0oe1ug8gz06s1mqar4icz39c3k4ob413zgbhcb8qa96z1221 jslife-20121230, o0007.lif, row 9, object 1
xp7_26xn6n1acz8e12js243123 jslife-20121230, o0007.lif, row 4, object 3
xp7_32acwggrhu0u9mka4zg88c2om9y2hjz12553y511 jslife-20121230, o0007.lif, row 1, object 8
xp7_4a40vh4e0ti88it0e4hv04a4zy24a9y29a4zxbd0ehp0c88c0phe0dbzy5312453 jslife-20121230, o0007.lif, row 3, object 5
xp7_64koxg8e1e88bb8bb88e1e8gxok46zxccweb03he9940499eh30bewcc jslife-20121230, o0007.lif, row 6, object 3
xp7_695q82ug6k9b4k6hbhm4kozw2fgm82685lkm87074zy611 jslife-20121230, o0007.lif, row 8, object 1
