# NOTE: this is an auto-generated file. Manual edits will be overwritten.
xp9_039e0o4czolnhlla23zw66 jslife-20121230, o0009.lif, row 4, object 3
xp9_04a5l688ge2zgs25lkhcz470vi0123 jslife-20121230, o0009.lif, row 7, object 1
xp9_05b871e0e2og4cz64138e0egs2qk jslife-20121230, o0009.lif, row 2, object 7
xp9_08e1mkic88gzg9f0ugiabq1z011da23 jslife-20121230, o0009.lif, row 4, object 11
xp9_08u1f0b9c88gzc4la9f8v1t5zx1139d54c jslife-20121230, o0009.lif, row 1, object 12
xp9_0c886ligzgs2t14gu1s6zx3kr221 jslife-20121230, o0009.lif, row 1, object 4
xp9_0c886ligzgs2t14gu1s6zx3kr221 jslife-20121230, x-djb-oscillators.lif, group 3, object 7
xp9_0c93wmk46z69bo7421 jslife-20121230, o0009.lif, row 1, object 6
xp9_0db0ggci5icggz6t1dglgngnk3z11y066w1 jslife-20121230, o0009.lif, row 1, object 10
xp9_0g08e1egmiczoll5waaq2qmz624303543 jslife-20121230, o0009.lif, row 2, object 8
xp9_0g08k487p8gozoh98n4mabkkoz6607a8r552 jslife-20121230, o0009.lif, row 2, object 12
xp9_0g88m49b88gzgar0f81d0fg7koz122qb8r45d543 jslife-20121230, o0009.lif, row 5, object 9
xp9_0g8o6996k4oz2js3s5lp5dzw4701 jslife-20121230, o0009.lif, row 3, object 9
xp9_0ggx4aabaa4xggzkc3om5h92029h5mo3ckz0phe2y52ehp jslife-20121230, o0009.lif, row 6, object 10
xp9_0o5b88gz178lkhd2ab4koz0321w358b43 jslife-20121230, o0009.lif, row 3, object 12
xp9_0o80g88bbg0g8ki6zw12ll532103cngf0ccz330fgu3s0o4caaq48gzx6421xdd11w11 jslife-20121230, o0009.lif, row 2, object 6
xp9_0o80gba9jz0qb070c8v0uizcic32qj43 jslife-20121230, o0009.lif, row 2, object 5
xp9_32acxca23w32acxca23zy04r4y0ccy04r4zy04r4y066y04r4zo8a6x6a8owo8a6x6a8o jslife-20121230, o0009.lif, row 2, object 2
xp9_32acxca23zy04r4zy04r4zo8a6x6a8o jslife-20121230, o0009.lif, row 2, object 1
xp9_32acxca23zy0cuczggkcxckggz1y51 jslife-20121230, o0009.lif, row 1, object 1
xp9_32acxca23zy0cuczggkcxckggz1y51 jslife-20121230, x-djb-oscillators.lif, group 4, object 12
xp9_32acxca23zy0cuczggkcxckggz1y51 jslife-20121230, x-oscs-1-of-each.lif, period 9
xp9_32acxca23zy1vzy1pzy1fzc453x354c jslife-20121230, o0009.lif, row 1, object 2
xp9_3iab1c8a6ziv0v0dh5m88czw4707a8q553 jslife-20121230, o0009.lif, row 5, object 11
xp9_3iaj4kraak8z2fgd8a611zw23 jslife-20121230, o0009.lif, row 1, object 8
xp9_69e0micgc4gz3213w478d54czy2mq jslife-20121230, o0009.lif, row 3, object 2
xp9_6s1784s0qmzwd5llkwaab9czx110qm0e95p1eozy811 jslife-20121230, o0009.lif, row 3, object 7
xp9_6s1v04a6wg0s4z11078mk2ujh1zxcic55c221 jslife-20121230, o0009.lif, row 5, object 6
xp9_6s1v04a6wg0s4z11078mkiejhpzy06410qm jslife-20121230, o0009.lif, row 5, object 8
xp9_8kiab1c84oz4s3s141v0j9c88gz118f0344dhar11 jslife-20121230, o0009.lif, row 6, object 9
xp9_8kk3aab4k8gz0c7gf09l5q2diczy0115aip jslife-20121230, o0009.lif, row 4, object 12
xp9_8o0pf0c4gzc96o3clhgf033zx1226 jslife-20121230, o0009.lif, row 1, object 5
xp9_8p784c0ca2sgz2js2llgl0v065zx346221 jslife-20121230, o0009.lif, row 4, object 13
xp9_c84q2b2q4oa6zx12js1shuic88gzy334aa4311 jslife-20121230, o0009.lif, row 3, object 13
xp9_c88baab4k6g6kk8zoe1pk45km8b43zw12ehe21 jslife-20121230, o0009.lif, row 4, object 10
xp9_c88gxg88cw32acxca23zw1beeeb1y4a9azy6p26oxaiazw8t777t8w11o8a6x6a8oz311y1113 jslife-20121230, o0009.lif, row 2, object 3
xp9_c88ml1eoyboe1lm88cz35s16o67wqt3y13tqw76o61s53zmlhcb0jvw256y1652wvj0bchlmz1w3543yd3453w1 jslife-20121230, o0009.lif, row 4, object 2
xp9_c88ml1eoyboe1lm88cz35s16o67wqt3y13tqw76o61s53zmlhcb0jvw256y1652wvj0bchlmz1w3543yd3453w1 jslife-20121230, x-oscs-new-p001-019.lif, period 9, object 1
xp9_g08e1tikmioggzd5kl4iq2vg6221zx343 jslife-20121230, o0009.lif, row 6, object 8
xp9_g08e1ugmi8gzdlklkiaifgf2zx1x32 jslife-20121230, o0009.lif, row 6, object 5
xp9_g842sgxbdz9p6o8g04bdhdbz32qa3w4s0ha6zw23y11 jslife-20121230, o0009.lif, row 3, object 4
xp9_g88c1bai3z1ar1mbgbq8a6zw123032 jslife-20121230, o0009.lif, row 6, object 6
xp9_g88m4iegdbgz178ngp0s0vg23zy165 jslife-20121230, o0009.lif, row 5, object 2
xp9_g8imge1e80gz122qaaw5llk4ozy117870641 jslife-20121230, o0009.lif, row 3, object 5
xp9_gba97o4a4o0o4a4o79abgzp96wp906v0v609pw69pz0d59e12521012521e95d jslife-20121230, o0009.lif, row 1, object 14
xp9_gbd0micgc4gz0113w478d54czy2mq jslife-20121230, o0009.lif, row 5, object 10
xp9_ggwg88bqiczhaaaalz11w122qb96 jslife-20121230, o0009.lif, row 2, object 11
xp9_gs2d5is0ccz034b8aml1d2sgzx33034ab43 jslife-20121230, o0009.lif, row 3, object 10
